headword,pos,ipa,definition,example,gloss_de,etymology,mnemonic,tags,freq
susurrus,n.,/suˈsʌr.əs/,"a soft murmuring or rustling sound","A susurrus rose from the pines as wind swept through the forest.",Flüstern,"Latin susurrare 'to whisper'","ssss - snakes whisper, creating soft sounds",poetic;nature,2.8
peregrinate,v.,/ˈpɛrəɡrɪneɪt/,"to travel or wander, especially on foot","She peregrinated across ruined cloisters, seeking forgotten knowledge.",umherwandern,"Latin peregrinus 'foreign, traveling'","pair-a-grin while roaming - happy wandering",archaic;literary,2.2
incunabula,n.,/ˌɪnkjʊˈnæbjʊlə/,"early printed books, especially those before 1501","He collects incunabula from Venetian presses of the Renaissance.",Inkunabeln,"Latin cunae 'cradle' - infancy of printing","in-cuna-baby-books - books from printing's cradle",bookish;historical,1.7
fulgurate,v.,/ˈfʌlɡjʊreɪt/,"to flash or emit flashes of light like lightning","Ideas fulgurated through his mind during the storm.",blitzen,"Latin fulgur 'lightning'","full-gore-ate - lightning fully consuming the sky",poetic;rare,1.9
lucubration,n.,/ˌluːkjʊˈbreɪʃən/,"laborious work or study, especially at night","His philosophical lucubrations filled countless midnight hours.",nächtliche Studien,"Latin lucubrare 'to work by lamplight'","luke-you-brazen - Luke brazenly studying all night",literary;academic,2.3
tenebrous,adj.,/ˈtɛnɪbrəs/,"dark, shadowy, or obscure","The tenebrous forest concealed many secrets.",dunkel,"Latin tenebrae 'darkness'","ten-E-BROS in darkness - ten bros lost in shadow",poetic;gothic,2.4
coruscate,v.,/ˈkɒrəskeɪt/,"to give off flashes of light; sparkle","Stars coruscated against the velvet night sky.",funkeln,"Latin coruscare 'to vibrate, glitter'","chorus-KATE sparkles on stage - dazzling performance",literary;poetic,2.1
vespertine,adj.,/ˈvɛspətaɪn/,"of, relating to, or occurring in the evening","Vespertine creatures emerged as twilight descended.",abendlich,"Latin vesper 'evening'","vesta-tine - evening goddess Vesta's time",poetic;nature,2.0
sempiternal,adj.,/ˌsɛmpɪˈtɜːnəl/,"eternal and unchanging; everlasting","The sempiternal truths of mathematics transcend human civilization.",ewig,"Latin semper 'always' + aeternus 'eternal'","SEMP-eternal - forever and always, doubly eternal",philosophical;literary,1.8
diaphanous,adj.,/daɪˈæfənəs/,"light, delicate, and translucent","She wore a diaphanous gown that floated in the breeze.",durchscheinend,"Greek dia 'through' + phainein 'to show'","die-a-FAIN-us - so thin you can see through",literary;fashion,2.5
scintillate,v.,/ˈsɪntɪleɪt/,"to emit sparks; sparkle; to be brilliant or witty","Her conversation scintillated with sharp observations.",funkeln,"Latin scintilla 'spark'","sin-TILL-ate - sparkling till dawn",literary,2.6
effulgent,adj.,/ɪˈfʌldʒənt/,"shining brightly; radiant","The effulgent sun rose over the mountain peaks.",strahlend,"Latin effulgere 'to shine forth'","e-FULL-gent - fully radiant gentleman",poetic;literary,1.9
noctilucent,adj.,/ˌnɒktɪˈluːsənt/,"shining or glowing at night","Noctilucent clouds glimmered in the twilight sky.",nachtleuchtend,"Latin nox 'night' + lucere 'to shine'","NOCTI-lucent - nighttime luminescence",scientific;poetic,1.6
pellucid,adj.,/pɛˈluːsɪd/,"translucently clear; easily understood","The pellucid water revealed every stone on the stream bed.",klar,"Latin pellucere 'to shine through'","PELL-you-see - so clear you can see through",literary,2.3
eldritch,adj.,/ˈɛldrɪtʃ/,"weird and sinister or ghostly","An eldritch howl echoed through the abandoned mansion.",unheimlich,"Middle English, possibly from Old English 'elf-ruled'","ELD-rich - rich old magic, eerie and ancient",gothic;fantasy,2.0
